20210101,102340,0,150000,150000.00
20210101,102340,2,3000,147000.00
20210101,102340,2,11000,136000.00
20210101,102340,1,8000,144000.00
20210102,102340,2,25000,119000.00
20210102,102340,2,9000,110000.00
20210102,102340,2,2500,107500.00
20210102,102340,1,1500,109000.00
20210103,102340,2,3000,106000.00
20210103,102340,1,500,106500.00
20210104,102340,2,7000,99500.00
20210104,102340,1,4500,104000.00
20210107,102340,1,500,104500.00
20210107,102340,1,1500,106000.00
20210108,102340,2,10000,96000.00
20210108,102340,1,500,96500.00
20210108,102340,2,8000,88500.00
20210109,102340,1,8000,96500.00
20210109,102340,2,500,96000.00
20210110,102340,1,2000,98000.00
20210110,102340,2,10000,88000.00
20210110,102340,2,1500,86500.00
20210110,102340,1,500,87000.00
20210111,102340,2,10000,77000.00
