0
20210101,102340,0,150000,150000.00
20210101,102341,0,305431,455430.98
20210101,102342,0,344096,799527.31
20210101,102343,0,13450.4,812977.75
20210101,102344,0,4.00435e+06,4817323.63
20210101,201444,0,7899,4825222.63
20210101,201445,0,2345.11,4827567.74
20210101,201446,0,874665,5702233.11
20210101,201447,0,4073.77,5706306.88
20210101,201448,0,795675,6501982.21
20210101,102340,2,3000,6498982.21
20210101,201447,2,500,6498482.21
20210101,102340,2,11000,6487482.21
20210101,102341,2,4500,6482982.21
20210101,201446,1,2000,6484982.21
20210101,102343,2,9000,6475982.21
20210101,102342,1,1500,6477482.21
20210101,102341,2,8000,6469482.21
20210101,201446,2,500,6468982.21
20210101,102342,2,4500,6464482.21
20210101,102343,2,3000,6461482.21
20210101,102342,1,500,6461982.21
20210101,102342,2,5000,6456982.21
20210101,102343,2,2000,6454982.21
20210101,102340,1,8000,6462982.21
20210101,102342,1,7000,6469982.21
20210101,201447,2,2000,6467982.21
20210101,201445,2,10000,6457982.21
20210101,102342,2,500,6457482.21
20210101,102341,1,9000,6466482.21
20210102,102341,1,3300,6469832.21
20210102,201448,2,500,6469332.21
20210102,102340,2,25000,6444332.21
20210102,201447,2,2500,6441832.21
20210102,102344,2,500,6441332.21
20210102,201446,2,1000,6440332.21
20210102,102340,2,9000,6431332.21
20210102,102340,2,2500,6428832.21
20210102,201444,2,1500,6427332.21
20210102,201444,2,2000,6425332.21
20210102,102344,2,5000,6420332.21
20210102,102343,2,2000,6418332.21
20210102,201448,2,3300,6415032.21
20210102,102340,1,1500,6416532.21
20210102,102342,2,9000,6407532.21
20210102,102341,2,500,6407032.21
20210102,201444,2,4500,6402532.21
20210102,201445,2,2000,6400532.21
20210102,201448,2,8000,6392532.21
20210102,201446,1,7000,6399532.21
20210103,201447,2,500,6399032.21
20210103,201444,1,2500,6401582.21
20210103,102343,2,2000,6399582.21
20210103,102340,2,3000,6396582.21
20210103,102340,1,500,6397082.21
20210103,201446,1,2000,6399082.21
20210103,201448,1,10000,6409082.21
20210103,102342,1,4500,6413582.21
20210103,102344,2,3300,6410282.21
20210103,102343,1,1000,6411282.21
20210103,201445,1,1500,6412782.21
20210103,201448,1,3300,6416082.21
20210103,102342,2,7000,6409082.21
20210103,201446,1,1000,6410082.21
20210103,201448,1,10000,6420082.21
20210103,201447,2,25000,6395082.21
20210103,201446,1,2000,6397082.21
20210103,201446,2,1500,6395582.21
20210103,102343,1,7000,6402582.21
20210103,201445,2,7000,6395582.21
20210104,201446,1,22000,6417632.21
20210104,102343,1,3000,6420632.21
20210104,102342,2,1000,6419632.21
20210104,201444,1,500,6420132.21
20210104,102341,1,1000,6421132.21
20210104,102344,1,3300,6424432.21
20210104,201448,2,2500,6421932.21
20210104,201445,1,8000,6429932.21
20210104,102344,2,10000,6419932.21
20210104,102343,2,10000,6409932.21
20210104,102343,2,4500,6405432.21
20210104,201444,1,7000,6412432.21
20210104,201446,1,500,6412932.21
20210104,102344,1,10000,6422932.21
20210104,102341,1,2000,6424932.21
20210104,102340,2,7000,6417932.21
20210104,201448,2,1500,6416432.21
20210104,102340,1,4500,6420932.21
20210104,201444,2,500,6420432.21
20210104,201446,1,2000,6422432.21
20210107,201447,2,1000,6421432.21
20210107,201448,1,25000,6446482.21
20210107,201447,2,1000,6445482.21
20210107,102344,1,500,6445982.21
20210107,102344,2,8000,6437982.21
20210107,102344,1,4500,6442482.21
20210107,201446,2,500,6441982.21
20210107,201447,1,500,6442482.21
20210107,102342,1,3000,6445482.21
20210107,102343,1,1000,6446482.21
20210107,102341,2,25000,6421482.21
20210107,102343,2,9000,6412482.21
20210107,102342,2,25000,6387482.21
20210107,102340,1,500,6387982.21
20210107,201448,1,1500,6389482.21
20210107,201447,2,2000,6387482.21
20210107,201446,2,9000,6378482.21
20210107,102340,1,1500,6379982.21
20210107,102341,2,3000,6376982.21
20210107,201447,1,3300,6380282.21
20210108,201444,1,2500,6382832.21
20210108,201448,2,2000,6380832.21
20210108,201444,1,3000,6383832.21
20210108,102343,2,1500,6382332.21
20210108,102343,1,9000,6391332.21
